"id","token","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","561669X250X3387qi2qu1sq1","561669X250X3387qi2qu1sq2","561669X250X3390qi2qu4sq1","561669X250X3390qi2qu4sq2","561669X250X3393qi2qu7sq1","561669X250X3393qi2qu7sq2","561669X250X3396qi2qu10sq1","561669X250X3396qi2qu10sq2","561669X250X3399qi2qu13sq1","561669X250X3399qi2qu13sq2","561669X250X3402qi2qu16sq1","561669X250X3402qi2qu16sq2","561669X250X3405qi2qu19sq1","561669X250X3405qi2qu19sq2","561669X250X3408qi2qu22sq1","561669X250X3408qi2qu22sq2","561669X251X3411qi2qu25sq1","561669X251X3411qi2qu25sq2","561669X251X3411qi2qu25sq3","561669X251X3411qi2qu25sq4","561669X252X3416","561669X252X3417"
"1",NULL,"2020-01-30 19:46:57",NULL,"hr",NULL,"2020-01-30 19:46:57","2020-01-30 19:46:57",NULL,"A2","A3","A1","A2","A1","A2","A3","A1","A1","A2","A3","A2","A3","A1","A2","A3","A2","A2","A2","A2","A2","A2"
"2",NULL,"2020-01-30 19:46:58",NULL,"hr",NULL,"2020-01-30 19:46:58","2020-01-30 19:46:58",NULL,"A2","A3","A1","A2","A1","A2","A3","A1","A1","A2","A1","A2","A2","A1","A2","A3","A2","A2","A2","A1","A1","A3"
"3",NULL,"2020-01-30 19:46:59",NULL,"hr",NULL,"2020-01-30 19:46:59","2020-01-30 19:46:59",NULL,"A2","A1","A2","A3","A1","A3","A2","A1","A3","A2","A1","A2","A2","A1","A2","A3","A2","A2","A2","A2","A1","A2"
"4",NULL,"2020-01-30 19:46:59",NULL,"hr",NULL,"2020-01-30 19:46:59","2020-01-30 19:46:59",NULL,"A2","A3","A2","A1","A3","A2","A2","A1","A1","A2","A1","A2","A2","A1","A1","A3","A1","A1","A2","A2","A3","A2"
"5",NULL,"2020-01-30 19:47:01",NULL,"hr",NULL,"2020-01-30 19:47:01","2020-01-30 19:47:01",NULL,"A2","A1","A1","A2","A3","A2","A3","A1","A3","A2","A3","A2","A2","A1","A1","A3","A1","A2","A2","A2","A2","A1"
"6",NULL,"2020-01-30 19:47:02",NULL,"hr",NULL,"2020-01-30 19:47:02","2020-01-30 19:47:02",NULL,"A2","A3","A3","A2","A3","A2","A2","A1","A1","A2","A1","A2","A2","A3","A3","A1","A2","A1","A2","A1","A1","A2"
"7",NULL,"2020-01-30 19:47:08",NULL,"hr",NULL,"2020-01-30 19:47:08","2020-01-30 19:47:08",NULL,"A2","A3","A1","A2","A1","A2","A3","A1","A3","A2","A3","A2","A3","A1","A1","A3","A1","A1","A1","A2","A1","A1"
"8",NULL,"2020-01-30 19:47:10",NULL,"hr",NULL,"2020-01-30 19:47:10","2020-01-30 19:47:10",NULL,"A2","A1","A1","A2","A1","A2","A3","A1","A3","A2","A1","A2","A3","A1","A2","A3","A1","A2","A2","A2","A2","A3"
"9",NULL,"2020-01-30 19:47:10",NULL,"hr",NULL,"2020-01-30 19:47:10","2020-01-30 19:47:10",NULL,"A2","A3","A3","A1","A1","A3","A3","A1","A1","A3","A1","A2","A3","A1","A1","A3","A1","A1","A1","A1","A2","A1"
"10",NULL,"2020-01-30 19:47:12",NULL,"hr",NULL,"2020-01-30 19:47:12","2020-01-30 19:47:12",NULL,"A2","A1","A3","A1","A1","A2","A3","A1","A3","A2","A3","A2","A2","A1","A1","A3","A1","A2","A1","A1","A1","A2"
"11",NULL,"2020-01-30 19:47:13",NULL,"hr",NULL,"2020-01-30 19:47:13","2020-01-30 19:47:13",NULL,"A2","A3","A3","A2","A2","A3","A3","A1","A1","A2","A3","A2","A2","A1","A1","A2","A1","A2","A1","A2","A2","A3"
"12",NULL,"2020-01-30 19:47:14",NULL,"hr",NULL,"2020-01-30 19:47:14","2020-01-30 19:47:14",NULL,"A2","A1","A1","A2","A1","A2","A3","A1","A1","A2","A3","A2","A3","A1","A1","A3","A1","A1","A2","A1","A3","A1"
"13",NULL,"2020-01-30 19:47:15",NULL,"hr",NULL,"2020-01-30 19:47:15","2020-01-30 19:47:15",NULL,"A2","A1","A1","A2","A1","A3","A2","A1","A1","A2","A3","A2","A3","A1","A1","A3","A2","A2","A2","A2","A2","A1"
"14",NULL,"2020-01-30 19:47:15",NULL,"hr",NULL,"2020-01-30 19:47:15","2020-01-30 19:47:15",NULL,"A2","A1","A1","A2","A1","A3","A2","A1","A1","A2","A3","A2","A2","A1","A2","A3","A2","A2","A2","A2","A1","A3"
"15",NULL,"2020-01-30 19:47:15",NULL,"hr",NULL,"2020-01-30 19:47:15","2020-01-30 19:47:15",NULL,"A2","A1","A3","A1","A1","A2","A2","A1","A1","A2","A1","A2","A2","A1","A3","A2","A1","A1","A1","A2","A2","A2"
"16",NULL,"2020-01-30 19:47:16",NULL,"hr",NULL,"2020-01-30 19:47:16","2020-01-30 19:47:16",NULL,"A2","A1","A1","A3","A1","A2","A3","A1","A1","A2","A3","A2","A2","A1","A2","A3","A1","A2","A2","A2","A2","A3"
"17",NULL,"2020-01-30 19:47:16",NULL,"hr",NULL,"2020-01-30 19:47:16","2020-01-30 19:47:16",NULL,"A2","A1","A2","A3","A1","A3","A2","A1","A3","A2","A1","A2","A3","A2","A2","A3","A1","A2","A2","A2","A1","A1"
"18",NULL,"2020-01-30 19:47:17",NULL,"hr",NULL,"2020-01-30 19:47:17","2020-01-30 19:47:17",NULL,"A2","A3","A1","A2","A3","A2","A3","A1","A3","A2","A3","A2","A2","A1","A1","A3","A1","A2","A2","A2","A1","A3"
"19",NULL,"2020-01-30 19:47:18",NULL,"hr",NULL,"2020-01-30 19:47:18","2020-01-30 19:47:18",NULL,"A1","A2","A1","A3","A1","A3","A2","A1","A1","A2","A3","A2","A3","A2","A1","A3","A2","A2","A2","A2","A3","A1"
"20",NULL,"2020-01-30 19:47:19",NULL,"hr",NULL,"2020-01-30 19:47:19","2020-01-30 19:47:19",NULL,"A2","A1","A1","A2","A1","A2","A2","A1","A3","A2","A1","A2","A2","A3","A1","A3","A2","A1","A1","A1","A2","A2"
"21",NULL,"2020-01-30 19:47:20",NULL,"hr",NULL,"2020-01-30 19:47:20","2020-01-30 19:47:20",NULL,"A2","A1","A1","A3","A1","A2","A3","A1","A1","A2","A1","A3","A2","A1","A1","A3","A1","A1","A1","A2","A2","A2"
"22",NULL,"2020-01-30 19:47:21",NULL,"hr",NULL,"2020-01-30 19:47:21","2020-01-30 19:47:21",NULL,"A2","A3","A1","A2","A3","A2","A3","A1","A1","A2","A3","A2","A3","A1","A1","A2","A2","A1","A1","A2","A3","A2"
"23",NULL,"2020-01-30 19:47:23",NULL,"hr",NULL,"2020-01-30 19:47:23","2020-01-30 19:47:23",NULL,"A2","A1","A1","A3","A1","A3","A3","A1","A3","A2","A1","A2","A3","A1","A2","A1","A1","A1","A2","A1","A1","A2"
"24",NULL,"2020-01-30 19:47:23",NULL,"hr",NULL,"2020-01-30 19:47:23","2020-01-30 19:47:23",NULL,"A2","A3","A1","A3","A1","A2","A2","A1","A1","A2","A1","A2","A3","A1","A2","A3","A2","A2","A2","A1","A2","A2"
"25",NULL,"2020-01-30 19:47:24",NULL,"hr",NULL,"2020-01-30 19:47:24","2020-01-30 19:47:24",NULL,"A2","A3","A1","A2","A1","A3","A2","A1","A1","A2","A3","A2","A3","A1","A1","A3","A2","A2","A2","A2","A3","A2"
"26",NULL,"2020-01-30 19:47:26",NULL,"hr",NULL,"2020-01-30 19:47:26","2020-01-30 19:47:26",NULL,"A2","A1","A1","A3","A1","A2","A3","A1","A1","A2","A3","A2","A3","A1","A1","A3","A1","A1","A2","A2","A3","A1"
"27",NULL,"2020-01-30 19:47:26",NULL,"hr",NULL,"2020-01-30 19:47:26","2020-01-30 19:47:26",NULL,"A2","A3","A3","A1","A1","A2","A3","A1","A1","A2","A1","A2","A2","A1","A3","A1","A1","A2","A2","A1","A2","A1"
"28",NULL,"2020-01-30 19:47:26",NULL,"hr",NULL,"2020-01-30 19:47:26","2020-01-30 19:47:26",NULL,"A2","A1","A1","A2","A1","A2","A2","A1","A3","A2","A1","A2","A2","A1","A1","A3","A2","A2","A2","A2","A2","A3"
"29",NULL,"2020-01-30 19:47:28",NULL,"hr",NULL,"2020-01-30 19:47:28","2020-01-30 19:47:28",NULL,"A2","A1","A3","A2","A1","A2","A2","A1","A3","A2","A3","A2","A2","A1","A1","A2","A2","A2","A2","A2","A1","A1"
"30",NULL,"2020-01-30 19:47:28",NULL,"hr",NULL,"2020-01-30 19:47:28","2020-01-30 19:47:28",NULL,"A2","A1","A2","A1","A1","A3","A3","A1","A1","A2","A1","A2","A2","A1","A1","A3","A2","A2","A2","A2","A3","A3"
"31",NULL,"2020-01-30 19:47:29",NULL,"hr",NULL,"2020-01-30 19:47:29","2020-01-30 19:47:29",NULL,"A2","A1","A3","A2","A1","A2","A3","A1","A3","A2","A1","A2","A2","A3","A1","A3","A1","A2","A2","A2","A3","A1"
"32",NULL,"2020-01-30 19:47:31",NULL,"hr",NULL,"2020-01-30 19:47:31","2020-01-30 19:47:31",NULL,"A2","A1","A3","A2","A1","A2","A2","A1","A3","A2","A1","A2","A2","A1","A1","A3","A2","A1","A2","A2","A3","A3"
"33",NULL,"2020-01-30 19:47:33",NULL,"hr",NULL,"2020-01-30 19:47:33","2020-01-30 19:47:33",NULL,"A2","A1","A3","A2","A1","A3","A2","A1","A3","A2","A1","A2","A3","A1","A1","A3","A1","A1","A1","A2","A1","A2"
"34",NULL,"2020-01-30 19:47:33",NULL,"hr",NULL,"2020-01-30 19:47:33","2020-01-30 19:47:33",NULL,"A2","A3","A3","A1","A1","A2","A2","A1","A1","A2","A1","A2","A3","A1","A1","A3","A1","A1","A2","A1","A3","A3"
"35",NULL,"2020-01-30 19:47:34",NULL,"hr",NULL,"2020-01-30 19:47:34","2020-01-30 19:47:34",NULL,"A2","A3","A1","A3","A1","A3","A3","A1","A1","A2","A3","A2","A3","A1","A1","A3","A1","A1","A2","A2","A3","A2"
"36",NULL,"2020-01-30 19:47:34",NULL,"hr",NULL,"2020-01-30 19:47:34","2020-01-30 19:47:34",NULL,"A2","A3","A1","A3","A1","A2","A3","A1","A1","A2","A3","A2","A2","A1","A1","A3","A2","A2","A2","A2","A1","A1"
"37",NULL,"2020-01-30 19:47:35",NULL,"hr",NULL,"2020-01-30 19:47:35","2020-01-30 19:47:35",NULL,"A2","A1","A3","A1","A1","A2","A2","A1","A3","A2","A3","A2","A3","A1","A2","A3","A2","A1","A2","A2","A1","A1"
"38",NULL,"2020-01-30 19:47:36",NULL,"hr",NULL,"2020-01-30 19:47:36","2020-01-30 19:47:36",NULL,"A2","A3","A2","A3","A1","A3","A3","A1","A1","A2","A1","A2","A2","A1","A1","A3","A1","A1","A1","A2","A3","A3"
"39",NULL,"2020-01-30 19:47:38",NULL,"hr",NULL,"2020-01-30 19:47:38","2020-01-30 19:47:38",NULL,"A2","A3","A1","A2","A1","A3","A2","A1","A3","A2","A3","A2","A3","A1","A2","A3","A2","A2","A2","A1","A3","A3"
